home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
A. Italiano,Nublense,0.0,1.0,complete,1722789000,C. Garay,55.0,45.0,4.0,4.0,2.0,4.0,0.31,1.7,0,1.0,1.0
Cobresal,Cobreloa,3.0,2.0,complete,1722798000,J. Cabero,60.0,40.0,6.0,4.0,4.0,3.0,3.71,0.74,0,1.0,1.0
Universidad de Chile,Deportes Copiapo,1.0,0.0,complete,1722807000,F. Vejar,74.0,26.0,14.0,1.0,0.0,4.0,4.5,0.14,0,1.0,1.0
Palestino,O'Higgins,4.0,1.0,complete,1723230000,V. Abarzúa,51.0,49.0,5.0,0.0,0.0,3.0,3.63,0.52,0,1.0,1.0
Huachipato,Cobresal,0.0,0.0,complete,1723240800,H. Jona,67.0,33.0,6.0,2.0,3.0,1.0,1.74,1.3,0,1.0,1.0
Cobreloa,Union La Calera,2.0,0.0,complete,1723249800,N. Millas,57.0,43.0,6.0,2.0,5.0,7.0,1.71,1.72,0,1.0,1.0
Deportes Copiapo,Nublense,0.0,1.0,complete,1723305600,F. Alveal,47.0,53.0,3.0,3.0,1.0,1.0,0.7,2.85,0,1.0,1.0
Universidad de Chile,Colo Colo,0.0,0.0,complete,1723316400,C. Garay,57.0,43.0,5.0,8.0,2.0,3.0,0.74,0.27,0,1.0,1.0
Coquimbo Unido,Deportes Iquique,1.0,2.0,complete,1723330800,M. Riquelme,52.0,48.0,13.0,1.0,2.0,4.0,1.56,1.53,0,1.0,1.0
A. Italiano,Union Espanola,1.0,1.0,complete,1723393800,F. Vejar,52.0,48.0,9.0,3.0,6.0,5.0,1.54,0.99,0,1.0,1.0
Everton de Vina,U. Catolica,0.0,0.0,complete,1723402800,J. Cabero,50.0,50.0,5.0,8.0,2.0,2.0,0.77,1.84,0,1.0,1.0
Colo Colo,Coquimbo Unido,2.0,0.0,complete,1723849200,J. Cabero,70.0,30.0,3.0,5.0,2.0,2.0,0.57,0.35,0,1.0,1.0
Union Espanola,Cobreloa,3.0,0.0,complete,1723912200,M. Riquelme,56.0,44.0,7.0,3.0,3.0,1.0,4.36,1.32,0,1.0,1.0
Deportes Copiapo,Huachipato,0.0,2.0,complete,1723921200,C. Garay,53.0,47.0,10.0,2.0,1.0,1.0,2.32,1.1,0,1.0,1.0
O'Higgins,Universidad de Chile,0.0,4.0,complete,1723930200,F. Gilabert,38.0,62.0,11.0,5.0,4.0,2.0,1.75,2.03,0,1.0,1.0
Nublense,Everton de Vina,1.0,1.0,complete,1723939200,M. Araos,38.0,62.0,2.0,4.0,3.0,1.0,0.51,1.4,0,1.0,1.0
Union La Calera,Palestino,2.0,1.0,complete,1723996800,R. Alvarado,34.0,66.0,1.0,7.0,2.0,3.0,0.98,2.01,0,1.0,1.0
A. Italiano,U. Catolica,2.0,1.0,complete,1724007600,M. Vergara,35.0,65.0,1.0,1.0,3.0,1.0,1.62,1.82,0,1.0,1.0
Cobresal,Deportes Iquique,2.0,1.0,complete,1724007600,D. Flores,40.0,60.0,4.0,12.0,1.0,2.0,2.74,0.85,0,1.0,1.0
Nublense,Union Espanola,0.0,0.0,complete,1724367600,N. Gamboa,46.0,54.0,11.0,2.0,1.0,2.0,1.0,1.0,0,1.0,1.0
Universidad de Chile,Cobreloa,4.0,0.0,complete,1724454000,G. Philippe,63.0,37.0,5.0,0.0,1.0,3.0,1.0,1.0,0,1.0,1.0
Union La Calera,Deportes Copiapo,3.0,3.0,complete,1724454000,J. Cabero,56.0,44.0,5.0,7.0,0.0,3.0,1.0,1.0,0,1.0,1.0
