l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
1.8,0.8,1.6,53.4,0.966,1.0,1.8,1.2,42.0,1.138,2,2,3,5.0,3.0
1.8,1.4,2.0,56.6,1.2920000000000003,2.2,0.8,2.0,58.2,1.9100000000000001,1,1,1,0.0,6.0
1.2,2.2,0.8,44.6,1.14,1.4,1.6,1.4,49.0,1.478,1,2,2,4.0,5.0
0.8,1.0,1.0,45.0,1.058,2.0,1.6,1.8,42.8,2.656,2,1,2,6.0,13.0
2.0,1.0,1.4,55.0,1.6300000000000001,2.4,0.8,2.2,57.0,2.502,2,3,4,5.0,10.0
1.0,2.2,0.8,48.8,1.28,2.0,2.2,1.4,48.6,1.07,0,2,1,11.0,0.0
1.8,2.2,1.0,51.4,1.39,1.4,2.4,0.8,44.0,1.092,0,4,0,5.0,2.0
1.8,2.2,1.2,46.4,1.058,0.8,1.2,0.8,45.2,1.122,2,1,2,7.0,3.0
2.4,1.2,2.6,55.2,2.476,1.6,1.4,1.6,49.8,1.0500000000000003,1,2,2,5.0,4.0
2.4,0.8,2.2,58.6,2.106,0.8,1.0,1.0,45.8,1.094,1,0,0,8.0,2.0
1.0,2.2,1.2,37.2,0.8699999999999999,1.2,1.6,1.4,48.0,2.088,0,2,1,4.0,3.0
1.6,1.6,1.6,47.8,1.584,1.2,1.4,1.2,38.6,1.504,2,1,3,8.0,5.0
1.2,2.0,0.8,61.6,1.812,2.0,1.2,1.4,58.4,0.89,2,1,2,8.0,2.0
0.8,2.4,0.2,51.0,0.968,1.8,1.6,0.8,52.6,1.722,2,0,5,2.0,5.0
3.0,1.2,2.6,58.4,2.848,2.4,1.6,2.0,49.6,1.448,0,2,1,8.0,5.0
2.0,1.6,1.8,47.0,2.904,1.4,1.8,1.4,50.2,1.444,1,1,1,12.0,6.0
1.4,1.6,1.4,50.4,1.8959999999999997,1.2,2.0,0.8,60.0,1.5580000000000003,0,2,1,5.0,4.0
1.6,2.0,1.4,50.2,1.69,1.4,2.0,1.0,52.8,1.326,1,1,1,8.0,4.0
2.0,1.6,1.4,46.8,1.474,1.2,1.8,1.8,38.4,1.1,2,0,2,9.0,5.0
0.8,1.2,0.8,47.6,1.038,2.0,2.0,1.0,52.0,1.8079999999999998,2,0,4,2.0,1.0
1.8,1.2,1.8,38.4,1.6620000000000001,2.2,0.6,2.2,63.8,2.04,2,1,5,3.0,3.0
1.8,1.4,1.4,57.8,1.1540000000000001,1.8,1.2,2.0,47.6,2.784,2,0,3,13.0,1.0
1.6,1.8,1.2,44.8,0.9280000000000002,0.8,3.0,0.2,45.2,1.004,1,0,0,6.0,5.0
0.8,0.8,1.2,43.4,0.8,3.2,1.2,3.0,61.0,2.9859999999999998,1,0,0,2.0,5.0
1.4,2.6,0.8,42.4,1.004,1.6,2.6,0.6,51.4,1.06,2,0,3,6.0,1.0
2.6,1.2,1.4,51.0,1.9,2.4,1.4,2.2,57.6,2.572,2,3,6,7.0,5.0
1.4,1.6,0.8,59.6,1.336,0.8,0.8,1.2,38.2,0.784,1,1,1,8.0,5.0
2.8,1.6,1.6,53.0,1.9460000000000002,1.4,1.4,1.8,45.2,1.6079999999999999,0,3,0,9.0,6.0
2.2,0.8,2.6,44.6,2.784,1.6,1.8,1.6,40.8,1.7280000000000002,1,0,0,5.0,2.0
0.4,2.4,0.4,46.2,0.8,1.4,2.2,1.0,50.0,1.7900000000000003,2,0,1,2.0,2.0
2.8,1.0,2.6,63.4,2.67,1.4,1.0,1.4,44.4,0.898,2,1,2,3.0,1.0
1.6,1.2,2.4,38.8,1.214,2.4,2.4,0.8,53.0,1.652,0,1,0,2.0,7.0
1.4,2.4,0.6,52.4,1.018,1.6,1.8,1.2,57.8,1.45,0,2,0,4.0,4.0
3.2,2.0,2.2,54.8,3.2939999999999996,1.2,2.8,0.8,45.8,0.942,0,3,1,14.0,1.0
1.2,2.0,0.6,54.6,1.3259999999999998,2.0,2.0,1.2,51.4,1.3980000000000001,1,0,0,5.0,3.0
